id,word,reading,level,type,subtype,primary_meanings,sentence_ja,sentence_en,kanji_frequency_difficulty,kanji_usage_difficulty,kanji_in_n5_list
1,嗚呼,ああ,N5,word,,ah!; oh!; alas!,ああ、なるほど！,"Ah, gotcha!",9,9,false
2,会う,あう,N5,word,,to meet; to encounter; to see,前に彼にあったのを覚えている。,I remember seeing him before.,2,3,false
3,青,あお,N5,word,,blue; azure; green,信号が青に変わったわよ。,The traffic light turned green.,7,6,false
4,青い,あおい,N5,word,,blue; azure; green,お前はまだ「青い」な。,You're still green.,7,6,false
5,赤,あか,N5,word,,red; crimson; scarlet,信号機が赤の間は道路を渡るな。,Don't cross the road when the signal is red.,7,5,false
6,赤い,あかい,N5,word,,red; crimson; scarlet,彼女は赤いスカートをはいていた。,She was wearing a red skirt.,7,5,false
7,明るい,あかるい,N5,word,,light; bright; well-lit,ダイヤは明るく光った。,The diamond shone brightly.,4,5,false
8,時,とき,N5,word,,time; hour; moment,１２才の時彼は声変わりした。,His voice broke when he was twelve.,2,3,true
9,開く,ひらく,N5,word,,to open; to undo; to unseal,庭のバラの木のつぼみが少しずつ開き始める。,"Little by little, the buds on the rosebush in my garden begin to open.",4,5,false
10,開ける,あける,N5,word,,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",財布の中身をこの袋に空けなさい。,Empty the purse into this bag.,4,5,false
11,上げる,あげる,N5,word,,to raise; to elevate; to move something (to a higher place),解き方を教えてあげるよ。,I will show you how to solve it.,2,3,true
12,朝,あさ,N5,word,,morning; breakfast,６月にしては寒い朝だ。,It is a cold morning for June.,4,6,false
13,朝ごはん,あさごはん,N5,word,,breakfast,朝ごはんにはなにがよろしいですか。,What would you like for breakfast?,4,6,false
14,明後日,あさって,N5,word,,day after tomorrow; wrong (e.g. direction),あさって彼にここへ来てもらうつもりです。,I will have him come here the day after tomorrow.,5,6,false
15,足,あし,N5,word,,"foot; paw; arm (of an octopus, squid, etc.)",また足がしびれた。,My foot's asleep again!,7,5,false
16,明日,あした,N5,word,,tomorrow; near future,あしたは一日中ひまです。,I'll be free all day tomorrow.,4,5,false
17,彼処,あそこ,N5,word,,there; over there; that place,先生、アソコがかゆいんです。,"Doctor, I've got an itch in my crotch.",8,8,false
18,遊ぶ,あそぶ,N5,word,,"to play (games, sports); to enjoy oneself; to have a good time",その機械は今遊んでいる。,The machine is lying idle.,9,6,false
19,暖かい,あたたかい,N5,word,,warm; mild; (pleasantly) hot,だんだん暖かくなります。,It will get warmer and warmer.,9,8,false
20,頭,とう,N5,word,,"counter for large animals (e.g. head of cattle); counter for insects in a collection; counter for helmets, masks, etc.",鹿は１頭だけで走っていた。,The deer was running by itself.,4,5,false
21,新しい,あたらしい,N5,word,,new; novel; fresh,あなたの新しい車は調子よく動いていますか。,Is your new car behaving well?,4,5,false
22,彼方,あちら,N5,word,,that way; that direction; over there,あちらが私の待っていた人です。,That's the person I've been waiting for.,4,6,false
23,暑い,あつい,N5,word,,hot; warm; sultry,この夏最高の暑さだ。,It is the hottest this summer.,9,8,false
24,熱い,あつい,N5,word,,"hot (to the touch); passionate (feelings, etc.); ardent",スープは熱いうちに召し上がって下さい。,Eat your soup while it is hot.,9,6,false
25,厚い,あつい,N5,word,,thick; deep; heavy,氷は２インチの厚さだ。,The ice is two inches thick.,9,8,false
26,彼方,あちら,N5,word,,that way; that direction; over there,あちらが私の待っていた人です。,That's the person I've been waiting for.,4,6,false
27,後,あと,N5,word,,behind; rear; after,あと２通手紙を書かなくてはならない。,I have another two letters to write.,2,5,true
28,貴方,あなた,N5,word,,you; dear; honey,ねえあなたたち行かないで。,"Don't go, dears.",7,6,false
29,兄,あに,N5,word,,older brother; elder brother; brother-in-law (spouse's older brother or older sister's husband),私の兄は技師になった。,My brother became an engineer.,9,8,false
30,姉,あね,N5,word,,older sister; elder sister,姉は私のズボンにアイロンをかけてくれる。,My sister presses my trousers.,9,8,false
31,アパート,アパート,N5,word,,apartment building; apartment block; apartment house,このアパートは６家族が暮らしている。,Six families live in this apartment house.,,,false
32,彼の,あの,N5,word,,that; those; the,あのおいしいワインをなぜ飲まないんだい。,Why not try that delicious wine?,4,8,false
33,浴びる,あびる,N5,word,,to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun),屋根は日を浴びて輝いている。,The roof is shining in the sun.,9,8,false
34,危ない,あぶない,N5,word,,dangerous; risky; hazardous,彼の命が危ない。,His life is in danger.,9,8,false
35,甘い,あまい,N5,word,,sweet-tasting; sweet; sugary,ゆりは甘い香りがする。,Lilies smell sweet.,9,8,false
36,余り,あまり,N5,word,,remainder; remnant; rest,それはあまり価値がない。,It's not worth much.,9,6,false
37,雨,あめ,N5,word,,rain; rainy day; rainy weather,雨のために彼らは気力をそがれた。,The rain dampened their spirits.,9,6,true
38,飴,あめ,N5,word,,(hard) candy; toffee; rice-sugar,息子は箱から飴を一つ取った。,My son took a candy from the box.,9,9,false
39,洗う,あらう,N5,word,,to wash; to cleanse; to rinse,そのバッグを洗うときは洗濯機に入れないでください。,"When you wash the bag, please do not put it in the washing machine.",9,8,false
40,有る,ある,N5,word,,to be; to exist; to live,悪いけどほかに用事があるの。,"I'm sorry, I have another engagement.",7,5,false
41,有る,ある,N5,word,,to be; to exist; to live,悪いけどほかに用事があるの。,"I'm sorry, I have another engagement.",7,5,false
42,歩く,あるく,N5,word,,to walk,歩いて行きますか？それともバスで行きますか？,Will you go on foot or by bus?,7,6,false
43,彼,あれ,N5,word,,that; that thing; that person,あれがこの町の大通りだ。,That is the main street of this city.,4,8,false
44,いい,いい,N5,word,,good; excellent; fine,５時までにもどるなら行ってもいいよ。,You may go on condition that you return by five.,,,false
45,いいえ,いいえ,N5,word,,no; you're welcome; not at all,「机の中に本がありますか」「いいえ、ありません」,"""Is there a book in the desk?"" ""No, there isn't.""",,,false
46,言う,いう,N5,word,,to say; to utter; to declare,「みんなひと休みしようぜ」とジョンは言った。,"John said, ""Hey guys, let's take a break.""",2,3,false
47,家,いえ,N5,word,,house; residence; dwelling,木立の間に家が見える。,I see a house among the trees.,2,3,false
48,如何,いかが,N5,word,,how; in what way; how about,コンタクトを入れるというのはいかがでしょう？,How about wearing contact lenses?,8,8,false
49,行く,いく,N5,word,,to go; to move (towards); to head (towards),その音はだんだん小さくなっていった。,The sound grew fainter and fainter.,2,2,true
50,幾つ,いくつ,N5,word,,how many; how old,あなたのお父さんはおいくつですか。,How old is your father?,9,8,false
51,幾ら,いくら,N5,word,,how much; something over; and something,このハンカチはいくらですか。,How much is this handkerchief?,9,8,false
52,池,いけ,N5,word,,pond,この前の夏にこの池は水がなくなりました。,The pond dried up last summer.,9,8,false
53,医者,いしゃ,N5,word,,doctor; physician,医者は彼の折れた足をついだ。,The doctor set his broken leg.,5,5,false
54,椅子,いす,N5,word,,chair; seat; stool,ちょっと椅子をずらしてくれない？,Could you move the chair a bit?,7,6,false
55,忙しい,いそがしい,N5,word,,busy; occupied; hectic,あいつはのらりくらりの仕事にお忙しい事だ。,He is busy loafing on the job.,9,9,false
56,痛い,いたい,N5,word,,painful; sore; cringy,噛むと痛いですか。,Does it hurt when you chew?,9,8,false
57,一,いち,N5,word,,one; 1; best,卵を一ダースづつつめなさい。,Pack eggs in dozens.,2,2,true
58,一日,いちにち,N5,word,,one day; all day (long); the whole day,私のｅ―ｍａｉｌアドレスは４月１日より下記になります。,My e-mail address will be as follows effective April 1.,3,3,true
59,一番,いちばん,N5,word,,number one; first; first place,このネクタイにしましょう、一番よさそうだから。,"I will take this tie, as it seems to be the best.",5,5,false
60,何時,いつ,N5,word,,when; at what time; how soon,いつ旅行においでになりますか。,When will you go on a journey?,4,6,true
61,５日,いつか,N5,word,,5th day of the month; five days,三日から五日で。,Maybe three to five days.,2,3,true
62,一緒,いっしょ,N5,word,,(doing) together; one lump; one mixture,「ご一緒してもいいですか」「もちろんです」,"""May I go with you?"" ""Of course.""",7,6,false
63,五つ,いつつ,N5,word,,five; five years of age; eight o'clock (old time system),この箱にはリンゴが五つ入っている。,This box contains five apples.,4,6,true
64,何時も,いつも,N5,word,,always; all the time; at all times,彼はいつも学校に遅れる。,He is always late for school.,4,6,true
65,犬,いぬ,N5,word,,dog (Canis (lupus) familiaris); canine; squealer,彼女は吠える犬を怖がる。,She is afraid of barking dogs.,9,6,false
66,今,いま,N5,word,,now; the present time; just now,今のアナウンスは何だったのですか。,What did the announcement just say?,4,6,true
67,意味,いみ,N5,word,,meaning; significance; sense,その語にはいくつかの意味がある。,The word has several meanings.,5,6,false
68,妹,いもうと,N5,word,,younger sister,あのかわいい少女は私の妹です。,That pretty girl is my sister.,9,9,false
69,嫌,いや,N5,word,,disliking; not wanting; unwilling (to do),この卵は嫌な匂いがする。,This egg has a bad smell.,9,8,false
70,入り口,いりぐち,N5,word,,entrance; entry; gate,１台の車が入り口に止まった。,A car stopped at the entrance.,4,5,false
71,居る,いる,N5,word,,to be (of animate objects); to exist; to stay,すっかり食べ終わってはいない。,I haven't quite finished eating.,7,6,false
72,要る,いる,N5,word,,to be needed; to be necessary; to be required,今のところお金はいらない。,I don't need money at present.,4,6,false
73,入れる,いれる,N5,word,,to put in; to let in; to take in,留学生も入れるのかしら。,Can foreign students be in the club?,2,3,true
74,色,いろ,N5,word,,colour; color; hue,満足の色が彼の顔に浮かんだ。,A look of contentment appeared on his face.,7,5,false
75,色々,いろいろ,N5,word,,various; a variety of; all sorts of,いろいろな国へ行ったがやっぱり日本が一番いい。,"I've visited many countries, but I like Japan best of all.",7,5,false
76,上,うえ,N5,word,,above; over; up,机の上に本があります。,There is a book on the desk.,2,3,true
77,後ろ,うしろ,N5,word,,back; behind; rear,後ろを刈り上げてください。,I want it tapered in the back.,2,5,true
78,薄い,うすい,N5,word,,thin (of an object); pale; light,肉を薄く切りなさい。,Cut the meat into thin slices.,9,6,false
79,歌,うた,N5,word,,song; singing; classical Japanese poem (esp. tanka),この歌を聞くと私はいつも、学生時代を思い出す。,"Whenever I hear this song, I am reminded of my school days.",7,6,false
80,歌う,うたう,N5,word,,"to sing; to sing of (love, beauty, etc.) in a poem; to express in the form of a poem",ジョンはステージで何を歌いましたか。,What did John sing on the stage?,7,6,false
81,家,うち,N5,word,,one's house; one's home; one's family,うちには十頭の牛がいる。,We have ten cattle.,2,3,false
82,生まれる,うまれる,N5,word,,to be born,あなたは何座生まれですか。,What sign were you born under?,2,2,true
83,海,うみ,N5,word,,sea; ocean; waters,何としても海をひと目みたいものだ。,I ache for a sight of the sea.,4,5,false
84,売る,うる,N5,word,,"to sell; to betray; to sell out (one's friend, country, etc.)",ガソリンはリットル単位で売られる。,Gasoline is sold by the liter.,7,6,false
85,煩い,うるさい,N5,word,,noisy; loud; annoying,あの子はなんてうるさい子だろう。,What a nuisance that child is!,9,9,false
86,上着,うわぎ,N5,word,,coat; jacket; outerwear,男性の方は上着を着用してください。,Jackets are requested for men.,5,5,false
87,絵,え,N5,word,,picture; drawing; painting,あの絵を壁に掛けなさい。,Hang that picture on the wall.,9,6,false
88,映画,えいが,N5,word,,movie; film; motion picture,その映画をもう一度見たいな。,I want to see the movie again.,7,7,false
89,映画館,えいがかん,N5,word,,movie theatre; movie theater; cinema,その映画館は人々でいっぱいだった。,The cinema was filled with people.,9,9,false
90,英語,えいご,N5,word,,English (language),アメリカでは英語を話します。,They speak English in America.,7,6,false
91,ええ,ええ,N5,word,,yes; that is correct; right,君、ええ仕事をしてるな。,You're doing good work there.,,,false
92,駅,えき,N5,word,,railway station; train station; staging post on a highway (in pre-modern Japan),グランド・セントラル駅までやってください。,"Grand Central Station, please.",9,8,false
93,エレベーター,エレベーター,N5,word,,elevator; lift; elevator,エレベーターの中でのタバコはご遠慮下さい。,You may not smoke in an elevator.,,,false
94,～円,～えん,N5,grammar_pattern,currency,Yen,,,,,false
95,鉛筆,えんぴつ,N5,word,,pencil,ペンか鉛筆を持っていますか。,Do you have a pen or a pencil?,10,8,false
96,お～,お～,N5,grammar_pattern,prefix,honorable ~ (honorific),,,,,false
97,美味しい,おいしい,N5,word,,good(-tasting); nice; delicious,おいしい食事をありがとう。,Thanks for the delicious meal.,5,7,false
98,多い,おおい,N5,word,,many; numerous; a lot,２０代の若い女性の中には、夏休みに海外旅行にでたいと思う人も多い。,Many young women in their 20s plan to go abroad during their summer holidays.,4,5,false
99,大きい,おおきい,N5,word,,big; large; great,もっと大きい声で言ってください。,"Louder, please.",2,2,true
100,大きな,おおきな,N5,word,,big; large; great,アメリカ人の中には大きな借金を抱えている人がいる。,Some Americans have grave debts.,2,2,true
101,大勢,おおぜい,N5,word,,crowd of people; great number of people; in great numbers,そこには大勢の人がいた。,There was a large crowd there.,5,5,false
102,お母さん,おかあさん,N5,word,,mother; mom; mum,お母さんに口答えしてはいけませんよ。,Don't answer your mother back.,7,6,true
103,お菓子,おかし,N5,word,,confections; sweets; candy,お菓子で赤ちゃんが窒息するところだった。,The baby almost choked on a piece of candy.,7,6,false
104,お金,おかね,N5,word,,money,どうやってそのお金を手に入れたんですか。,How did you come by the money?,4,3,true
105,起きる,おきる,N5,word,,to get up; to rise; to blaze up (fire),６時ごろ起きた。,I got up at about six.,7,6,false
106,置く,おく,N5,word,,to put; to place; to leave (behind),宿題をやりかけにしておいた。,The boy left his homework half-finished.,7,5,false
107,奥さん,おくさん,N5,word,,wife; your wife; his wife,彼は奥さんが怖かった。,He was afraid of his wife.,7,8,false
108,お酒,おさけ,N5,word,,alcohol; sake,夫はたまに御酒をたしなみます。,My husband enjoys his glass once in a while.,9,6,false
109,お皿,おさら,N5,word,,plate; dish,給仕は新しいお皿を持ってきた。,The waiter brought a new plate.,9,9,false
110,叔父,おじ,N5,word,,uncle,おじさんがぼくにカメラをくれました。,My uncle gave me a camera.,9,9,false
111,お祖父さん,おじいさん,N5,word,,grandfather; male senior-citizen; old man,おじいさんは少し耳が遠いんだ。,My grandfather is a bit hard of hearing.,9,9,false
112,教える,おしえる,N5,word,,to teach; to instruct; to tell,地下鉄へ行く道を教えていただけませんか。,Could you tell me how to get to the subway station?,4,5,false
113,押す,おす,N5,word,,to push; to thrust; to shove,シャッターを押してくれますか。,Could you press this button?,9,6,false
114,遅い,おそい,N5,word,,slow; late; too late,彼女は走るのが遅い。,She is a slow runner.,9,8,false
115,お茶,おちゃ,N5,word,,tea (esp. green or barley); tea break; teatime,３時はお茶にしよう。,Let's have tea at 3:00.,9,6,false
116,お手洗い,おてあらい,N5,word,,toilet; restroom; lavatory,お手洗いはどこですか。,Where's the restroom?,7,6,false
117,お父さん,おとうさん,N5,word,,father; dad; papa,お父さんは煙草の煙でたくさん輪を作れる。,Dad can blow many smoke rings.,7,8,true
118,弟,おとうと,N5,word,,younger brother; little brother; kid brother,彼は私と弟を取り違えた。,He mistook me for my younger brother.,9,8,false
119,男,おとこ,N5,word,,man; male; fellow,あんな男見ても胸くそが悪い。,I can't bear the sight of him.,4,6,true
120,男の子,おとこのこ,N5,word,,boy; son; baby boy,あのハンサムな男の子を見て。,Look at that good-looking boy.,4,5,true
121,一昨日,おととい,N5,word,,day before yesterday,「ウィキペディアを引用するな」という主張が昨日だか一昨日だかの朝日新聞に載っていた。,"The exhortation ""Don't quote Wikipedia"" was included in the Asahi newspaper of yesterday or the day before.",6,7,false
122,一昨年,おととし,N5,word,,year before last,彼女は、一昨年よりもはるかに暮らし向きがよい。,She's far better off than she was the year before last.,6,7,false
123,大人,おとな,N5,word,,adult; grown-up,大人だけこの映画が見える。,Only adults can see this film.,3,3,true
124,お腹,おなか,N5,word,,belly; abdomen; stomach,いいえ、結構です。お腹が一杯ですから。,"No, thank you. I've had enough.",9,6,false
125,同じ,おなじ,N5,word,,same; identical; equal,ジャズが使う音符は、バッハが使ったのと同じだ,Jazz uses the same notes that Bach used.,4,5,false
126,お兄さん,おにいさん,N5,word,,older brother; elder brother; young man,彼のお兄さんは有名なサッカーの選手です。,His brother is a famous soccer player.,9,8,false
127,お姉さん,おねえさん,N5,word,,older sister; elder sister; young lady,あなたのお姉さんは審美感があるね。,Your sister has a sense of beauty.,9,8,false
128,伯母さん,おばさん,N5,word,,aunt,叔母さんを訪ねた時はすごいごちそうだったね。,What a feast we had when we visited my aunt!,9,9,false
129,お祖母さん,おばあさん,N5,word,,grandmother; old woman; female senior citizen,ジョンのおばあさんは長い間病に伏せていたが、亡くなった。,John's grandmother passed away after a long illness.,9,8,false
130,お風呂,おふろ,N5,word,,bath,私はほとんど毎日お風呂に入ります。,I take a bath almost every day.,9,7,false
131,お弁当,おべんとう,N5,word,,bento; Japanese box lunch,彼は今日、お弁当を持って来た。,He brought his lunch today.,8,6,false
132,覚える,おぼえる,N5,word,,to memorize; to memorise; to commit to memory,日本語は外人にとって覚えにくい。,It is hard for foreigners to learn Japanese.,7,6,false
133,お巡りさん,おまわりさん,N5,word,,police officer,おまわりさんに車を片側に寄せるように合図された。,The patrolman motioned me to pull over.,9,8,false
134,重い,おもい,N5,word,,heavy; weighty; heavy (feeling),「彼の病気は重いのかな」「そうでないといいね」,"""Is he seriously ill?"" ""I hope not.""",4,5,false
135,面白い,おもしろい,N5,word,,interesting; fascinating; intriguing,この本は面白い読み物です。,This book makes pleasant reading.,5,5,false
136,泳ぐ,およぐ,N5,word,,to swim; to struggle through (a crowd); to make one's way through the world,この湖で泳ぐのは危険だと思うんだ。,I think it is dangerous to swim in the lake.,9,8,false
137,降りる,おりる,N5,word,,to descend (e.g. a mountain); to go down; to come down,ここで降りましょう。,Let's get off here.,9,6,false
138,終わる,おわる,N5,word,,to end; to come to an end; to finish,野球の試合は引き分けに終わった。,The baseball game ended in a draw.,7,6,false
139,音楽,おんがく,N5,word,,music,あの音楽は彼の気にさわる。,That music gets on his nerves.,8,6,false
140,女,おんな,N5,word,,woman; female; female lover,彼が戻ってきた時には、女は歩み去っていた。,"When he came back, the woman had walked off.",2,5,true
141,女の子,おんなのこ,N5,word,,girl; daughter; baby girl,その女の子達は、とても忙しい。,Those girls are very busy.,3,4,true
142,～回,～かい,N5,grammar_pattern,counter,counter for occurrences (~ times),,,,,false
143,～階,～かい,N5,grammar_pattern,counter,counter for stories (floors) of a building,,,,,false
144,外国,がいこく,N5,word,,foreign country,あなたは外国の本を持っていますか。,Do you have any foreign books?,4,4,true
145,外国人,がいこくじん,N5,word,,foreigner; foreign citizen; foreign national,「居住外国人」とは、どういう意味ですか。,"What does ""resident alien"" mean?",5,5,true
146,会社,かいしゃ,N5,word,,company; corporation; firm,彼の努力は会社の成長に貢献した。,His effort contributed to my company's growth.,4,5,false
147,階段,かいだん,N5,word,,stairs; stairway; staircase,その階段を上ってはいけません。,You must not go up the stairs.,9,7,false
148,買い物,かいもの,N5,word,,shopping; purchased goods,１日おきに買い物に行く。,I go shopping every other day.,5,5,false
149,買う,かう,N5,word,,to buy; to purchase; to value (highly),車を買うために貯金をしている。,I'm saving money for a car.,7,6,false
150,返す,かえす,N5,word,,to return (something); to restore; to put back,お金は明日返すよ。,I'll give you back the money tomorrow.,7,6,false
151,帰る,かえる,N5,word,,to return; to come home; to go home,恋人よ、我に帰れ。,"Lover, come back to me.",7,6,false
152,顔,かお,N5,word,,face; visage; looks,ヘレンはみんなにほめられて顔を赤くした。,Helen blushed at their praise.,4,6,false
153,架かる,かかる,N5,word,,to span; to bridge; to cross,池には橋がかかっている。,There is a bridge over the pond.,9,8,false
154,鍵,かぎ,N5,word,,"key; lock; key (to a problem, success, etc.)",ドアを開ける際に、私は鍵を壊してしまった。,"In opening the door, I broke the lock.",9,9,false
155,書く,かく,N5,word,,to write; to compose; to pen,ここにあなたの名前をかいてくれませんか。,Would you please write your name here?,4,3,true
156,学生,がくせい,N5,word,,student (esp. a university student),学生の半数が休んでいた。,Half the students were absent.,3,3,true
157,～か月,～かげつ,N5,grammar_pattern,time,(number of) months,,,,,false
158,掛ける,かける,N5,word,,"to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from)",４掛ける２は８だ。,Four multiplied by two is eight.,9,5,false
159,掛ける,かける,N5,word,,"to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from)",４掛ける２は８だ。,Four multiplied by two is eight.,9,5,false
160,傘,かさ,N5,word,,umbrella; parasol; something shaped like an umbrella or a conical hat,タクシーに傘を忘れてしまった。,I left my umbrella in the cab.,9,9,false
161,貸す,かす,N5,word,,to lend; to loan; to rent out,鞄が必要です。貸してください。,I need a bag. Will you lend me one?,9,8,false
162,振り,ふり,N5,word,,swing; shake; sweep,人のふり見て我がふり直せ。,Learn wisdom from the faults of others.,7,6,false
163,風邪,かぜ,N5,word,,(common) cold; influenza; flu,ただの風邪でしょう。,You probably just have a cold.,9,7,false
164,方,かた,N5,word,,direction; way; person,その少年はカーブの投げ方を知っている。,The boy knows how to throw a curve.,2,3,false
165,家族,かぞく,N5,word,,family,あなたの家族はきっと親切でしょう。,Your family must be very nice.,5,6,false
166,片仮名,カタカナ,N5,word,,katakana; angular Japanese syllabary used primarily for loanwords,ひらがなは書けますが、カタカナはまだ書けません。,"I can write hiragana, but I can't yet write katakana.",9,8,false
167,～月,～がつ,N5,grammar_pattern,time,month of year,,,,,false
168,学校,がっこう,N5,word,,school,この学校はたくさんの生徒がいます。,This school has many students.,5,5,true
169,カップ,カップ,N5,word,,"cup (drinking vessel, measure, brassiere, prize, etc.)",カップの取っ手がこわれている。,The handle of the cup is broken.,,,false
170,家庭,かてい,N5,word,,home; household; family,食事は家庭で食べますか、外食ですか。,Do you eat at home or eat out?,7,6,false
171,角,かく,N5,word,,angle; square; cube,３角形のすべての角の和は１８０度に等しい。,The sum of all the angles in a triangle equals 180 degrees.,9,5,false
172,鞄,かばん,N5,word,,bag; satchel; briefcase,かばん全部に荷札をつけなさい。,Attach labels to all the bags.,9,9,false
173,花瓶,かびん,N5,word,,(flower) vase,花びんは粉々になった。,The vase broke into fragments.,9,7,false
174,被る,かぶる,N5,word,,to put on (one's head); to wear; to have on,その機械はほこりをかぶっていた。,The machine was coated with dust.,9,6,false
175,紙,かみ,N5,word,,paper,紙に線を１本引きなさい。,Draw a line on the paper.,7,6,false
