id,word,reading,level,type,subtype,primary_meanings,sentence_ja,sentence_en,kanji_frequency_difficulty,kanji_usage_difficulty,kanji_in_n5_list
176,カメラ,カメラ,N5,word,,camera,おじさんがぼくにカメラをくれました。,My uncle gave me a camera.,,,false
177,火曜日,かようび,N5,word,,Tuesday,火曜日に国会が開かれる。,The Diet will meet on Tuesday.,8,8,false
178,辛い,からい,N5,word,,spicy; hot; salty,私は辛い食物はあまり好きではない。,I don't care too much for hot food.,9,8,false
179,体,からだ,N5,word,,body; torso; trunk,カメレオンは周りの色に合わせて体色を変えることができる。,The chameleon can take on the colors of its background.,4,3,false
180,借りる,かりる,N5,word,,to borrow; to rent; to hire,この本をお借りしてもよろしいですか。,May I borrow this book?,9,8,false
181,～がる,～がる,N5,grammar_pattern,suffix,feel,,,,,false
182,軽い,かるい,N5,word,,"light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily); light (i.e. of foot)",終わったあとも足が軽い感じがしました。,I felt very light on my feet afterwards.,9,6,false
183,咖哩,カレー,N5,word,,curry (esp. Japanese curry); rice and curry,カレーのルーは非常に滋養に富んでいる。,Curry sauce is very nourishing.,10,10,false
184,カレンダー,カレンダー,N5,word,,calendar; calender (machine for flattening things),整えられた長机、いくつかのパイプ椅子、壁の掲示板にはカレンダーとプリント数枚が張られている。,"There were long desks lined up, several pipe chairs, and stuck on the bulletin board were a calendar and several printouts.",,,false
185,川,かわ,N5,word,,river; stream; River,この川はあの川の３倍長い。,This river is three times longer than that one.,4,6,true
186,～側,～がわ,N5,grammar_pattern,suffix,~ side,,,,,false
187,可愛い,かわいい,N5,word,,cute; adorable; charming,この世にかわいい子はただ一人、母親にとってはそれはわが子。,"There's only one pretty child in the world, and every mother has it.",8,7,false
188,漢字,かんじ,N5,word,,kanji; Chinese character,漢字を書くときは点やはらいに気をつけて、なるべく早くていねいに書きましょう。,"When drawing kanji be careful of dots and sweeps, write as carefully and quickly as possible.",9,6,false
189,木,き,N5,word,,tree; shrub; bush,その木には実がたわわになっていた。,The tree was heavy with fruit.,4,5,true
190,黄色,きいろ,N5,word,,yellow; amber,床は緑色に塗られていたが、一方壁は黄色だった。,"The floor was painted green, while the walls were yellow.",9,6,false
191,黄色い,きいろい,N5,word,,yellow; high-pitched (voice); shrill,秋になると葉は黄色くなる。,In autumn the leaves turn yellow.,9,6,false
192,消える,きえる,N5,word,,to disappear; to vanish; to go out of sight,突然、明かりが消えた。,All at once the lights went out.,7,6,false
193,聞く,きく,N5,word,,to hear; to listen (e.g. to music); to ask,音楽が好きで、毎日聴いています。,"I like music, and I listen to it every day.",4,6,true
194,北,きた,N5,word,,north; the North; northern territories,船はまっすぐ北に向かっている。,The ship is bearing due north.,7,6,true
195,ギター,ギター,N5,word,,guitar,私は彼にギターを弾いてもらいたい。,I want him to play the guitar.,,,false
196,汚い,きたない,N5,word,,dirty; filthy; foul,ジャックは私に汚いいたずらをした。,Jack played a dirty trick on me.,9,8,false
197,喫茶店,きっさてん,N5,word,,coffee shop; tearoom; coffee lounge,私たちは喫茶店で昼食をとった。,We ate lunch in a coffee lounge.,10,9,false
198,切手,きって,N5,word,,stamp (postage); merchandise certificate,趣味は切手を集めることです。,My hobby is collecting stamps.,4,4,false
199,切符,きっぷ,N5,word,,ticket,この切符で二人入れるよ。,The ticket admits two persons.,8,6,false
200,昨日,きのう,N5,word,,yesterday,昨日彼がぶらっと立ち寄った。,He dropped in on me yesterday.,7,7,false
201,九,きゅう,N5,word,,nine; 9,彼は「九時だ」と言った。,"He said, ""It's nine o'clock.""",4,8,true
202,牛肉,ぎゅうにく,N5,word,,beef,私の好みはどちらかというと牛肉ですね。,I have a predilection for beef.,10,7,false
203,牛乳,ぎゅうにゅう,N5,word,,(cow's) milk,牛は我々に牛乳を与えてくれる。,The cow supplies us with milk.,10,7,false
204,今日,きょう,N5,word,,today; this day; these days,今日は何をしたいですか。,What would you like to do today?,4,6,true
205,教室,きょうしつ,N5,word,,classroom; lecture room; department (in a university),ＬＬ教室を使ってもよいですか。,May we use the language lab?,7,6,false
206,兄弟,きょうだい,N5,word,,siblings; brothers and sisters; brothers,あなたは何人兄弟がいますか。,How many siblings do you have?,10,9,false
207,去年,きょねん,N5,word,,last year,ビルは去年の秋に私に会いに来た。,Bill came to see me last autumn.,7,7,false
208,嫌い,きらい,N5,word,,disliked; hated; disagreeable,ジムくんは行き過ぎの嫌いがある。,Jim tends to go too far.,9,8,false
209,切る,きる,N5,word,,to cut; to cut through; to perform (surgery),トランプをよく切ってください。,Please shuffle the cards carefully.,4,3,false
210,着る,きる,N5,word,,"to wear (from the shoulders down); to put on; to take (the blame, responsibility)",「あの赤い服を着るのはよしなさい」「なぜいけないの」,"""You had better not wear the red dress."" ""Why not?""",7,5,false
211,綺麗,きれい,N5,word,,pretty; lovely; beautiful,この辺りは空気がきれいだよ。,The air is pure around here.,10,9,false
212,キロ,キロ,N5,word,,kilo-; 1000; kilogram,この車は時速６０キロで走っている。,This car is going 60km an hour.,,,false
213,キロ,キロ,N5,word,,kilo-; 1000; kilogram,この車は時速６０キロで走っている。,This car is going 60km an hour.,,,false
214,銀行,ぎんこう,N5,word,,bank; banking institution,ジェーンはお金を引き出しに銀行へ行った。,Jane went to the bank to take out some money.,7,5,false
215,金曜日,きんようび,N5,word,,Friday,金曜日の銀行は遅じまいだ。,The bank shuts late on Fridays.,7,7,false
216,九,きゅう,N5,word,,nine; 9,彼は「九時だ」と言った。,"He said, ""It's nine o'clock.""",4,8,true
217,薬,くすり,N5,word,,medicine; pharmaceuticals; (legal) drugs,この薬を飲めば、あなたは頭痛が治るでしょう。,The medicine will cure your headache.,9,6,false
218,下さい,ください,N5,word,,please (give me); please (do for me),熱いココアを下さい。,I'd like to have some hot chocolate.,2,3,true
219,果物,くだもの,N5,word,,fruit,彼は果物の他何も食べない。,He eats nothing else but fruit.,5,5,false
220,口,くち,N5,word,,mouth; opening; hole,あの仕事の口はまだあるよ。,The job offer still stands.,4,5,false
221,靴,くつ,N5,word,,shoe; shoes; boots,くつは革でつくられている。,The shoes are made of leather.,9,8,false
222,靴下,くつした,N5,word,,socks; sock; stockings,この靴下の片方はどこだ。,Where is the mate to this sock?,7,6,false
223,国,くに,N5,word,,country; state; region,その王がその国を治めていた。,The king governed the country.,2,3,true
224,曇り,くもり,N5,word,,"cloudiness; cloudy weather; fog (on a mirror, glasses, etc.)",昨日、東京は曇りでしたか。,Was it cloudy in Tokyo yesterday?,9,9,false
225,曇る,くもる,N5,word,,to get cloudy; to cloud over; to become overcast,蒸気でメガネが曇ってしまった。,The steam has fogged my glasses.,9,9,false
226,暗い,くらい,N5,word,,dark; gloomy; murky,あたりがもう暗くなっていることに気がついた。,I observed that it had already got dark.,9,6,false
227,～くらい; ぐらい,～くらい; ぐらい,N5,grammar_pattern,suffix,approximate (quantity),,,,,false
228,クラス,クラス,N5,word,,class,あなたはうちのクラスで歓迎されています。,You are welcomed in our class.,,,false
229,瓦,グラム,N5,word,,gram; gramme,このジャムの正味重量は２００グラムです。,The net weight of this jam is 200 grams.,9,9,false
230,来る,くる,N5,word,,to come (spatially or temporally); to approach; to arrive,１０時までに来ます。,I'll come by 10.,4,5,true
231,車,くるま,N5,word,,car; automobile; vehicle,車を運転する時はいくら注意してもしすぎることはない。,You cannot be too careful when you drive a car.,7,5,true
232,黒,くろ,N5,word,,black; black stone; guilt,２匹犬を飼っているが、１匹は白でもう１匹は黒だ。,I have two dogs. One is white and the other black.,7,6,false
233,黒い,くろい,N5,word,,black; dark; blackish,ナンシーはヘレンよりもほんのすこし色が黒い。,Nancy is a shade darker than Helen.,7,6,false
234,警官,けいかん,N5,word,,police officer; policeman; constable,２０人の警官が現場に現れた。,Twenty police have arrived on the scene.,8,6,false
235,今朝,けさ,N5,word,,this morning,今朝はとても寒かった。,It was very cold this morning.,5,7,false
236,消す,けす,N5,word,,to erase; to rub out; to rub off,寝る前に電気を消してください。,Turn off the light before you go to bed.,7,6,false
237,結構,けっこう,N5,word,,splendid; nice; wonderful,どちらの日でも結構です。,Either day is OK.,7,6,false
238,結婚,けっこん,N5,word,,marriage,結婚の申し込みが殺到した。,Marriage proposals flooded in.,8,6,false
239,月曜日,げつようび,N5,word,,Monday,月曜日はいつも憂鬱だ。,I always feel blue on Mondays.,6,8,false
240,玄関,げんかん,N5,word,,entrance; front door; entryway,トムが玄関にいるのでなかに入るように言ってください。,Tom is at the door. Please ask him in.,8,8,false
241,元気,げんき,N5,word,,lively; full of spirit; energetic,こんにちは、ロジャー。とっても元気よ。,"Hi, Roger. I'm pretty good!",5,6,false
242,～個,～こ,N5,grammar_pattern,counter,counter for small items (e.g.; fruits; cups),,,,,false
243,五,ご,N5,word,,five; 5,私は五歳です,I am five years old,4,6,true
244,～語,～ご,N5,grammar_pattern,suffix,word; language,,,,,false
245,公園,こうえん,N5,word,,(public) park,この公園はすべての人に公開されている。,The park is open to everybody.,8,7,false
246,交差点,こうさてん,N5,word,,crossing; intersection,あの交差点で何が起こったのか。,What happened at that crossing?,9,7,false
247,紅茶,こうちゃ,N5,word,,black tea,紅茶２杯とコーヒー１杯ください。,"Two teas and a coffee, please.",10,7,false
248,交番,こうばん,N5,word,,police box; koban; small neighborhood police station,向こうの交番で聞いてください。,Ask at the police station over there.,8,6,false
249,声,こえ,N5,word,,voice; singing (of a bird); chirping (of an insect),あなたの声が聞けてうれしいわ。,I am happy to hear your voice.,4,6,false
250,コート,コート,N5,word,,coat; coating,あなたが家を出た後で、私はあなたのコートに気づきました。,I found your coat after you left the house.,,,false
251,珈琲,コーヒー,N5,word,,coffee,彼は熱いコーヒーをゆっくりすすった。,He sipped the hot coffee slowly.,10,10,false
252,此処,ここ,N5,word,,here; this place; this point,ここに手のないナベがある。,Here is a pan without handles.,10,9,false
253,午後,ごご,N5,word,,afternoon; p.m.,その急行は午後六時三十分着だ。,The express arrives at 6:30 p.m.,7,8,true
254,９日,ここのか,N5,word,,9th day of the month; nine days,スピーチコンテストは１１月９日に行われた。,The speech contest took place on the ninth of November.,2,3,true
255,九つ,ここのつ,N5,word,,nine; nine years of age; twelve o'clock (old time system),太陽をまわる惑星は９つもあり、地球もその１つである。,"There are nine planets travelling around the sun, the earth being one of them.",4,8,true
256,午前,ごぜん,N5,word,,morning; a.m.,その電車は午前９時にここを出発します。,The train departs here at 9:00 a.m.,7,8,true
257,答える,こたえる,N5,word,,to answer; to reply,「はい、ありません」とジョーダンさんは答えた。,"""No, I don't,"" said Mr Jordan.",7,8,false
258,此方,こちら,N5,word,,this way; this direction; here,塩をこちらへ取ってもらえますか。,"Could you pass me the salt, please?",7,7,false
259,此方,こちら,N5,word,,this way; this direction; here,塩をこちらへ取ってもらえますか。,"Could you pass me the salt, please?",7,7,false
260,洋杯,コップ,N5,word,,glass (drinking vessel); tumbler; cups (suit),ガラスのコップを流しにおこうとしたら手が滑って、ガシャッと割れた。,When I tried to set the glass down in the sink my hand slipped and it shattered to pieces.,10,8,false
261,今年,ことし,N5,word,,this year,今年の暑い夏には耐えられません。,I can't stand this hot summer.,4,6,true
262,言葉,ことば,N5,word,,language; dialect; word,言葉が出てこなかった。,Words failed me.,5,5,false
263,子供,こども,N5,word,,child; children,あなたには何人子供がいますか。,How many children do you have?,5,5,false
264,九,きゅう,N5,word,,nine; 9,彼は「九時だ」と言った。,"He said, ""It's nine o'clock.""",4,8,true
265,ご飯,ごはん,N5,word,,cooked rice; meal,ご飯とパンどちらがいいですか。,"Which do you prefer, rice or bread?",9,6,false
266,コピーする,コピーする,N5,word,,to copy,コピーをもらえますか？,Can I get a copy?,,,false
267,困る,こまる,N5,word,,to be troubled; to have difficulty; to be in a fix,騒音でこまっている。,The noise bothers me.,9,9,false
268,此れ,これ,N5,word,,this; this one; this person,これは兄です。かっこいいですね。,"This is my brother. Handsome, isn't he?",9,9,false
269,～ころ; ～ごろ,～ころ; ～ごろ,N5,grammar_pattern,time,about; toward; approximately (time),,,,,false
270,今月,こんげつ,N5,word,,this month,今月の売り上げはよくない。,Sales have been off this month.,4,6,true
271,今週,こんしゅう,N5,word,,this week,今週はどちらにいらしゃいましたか。,Where have you been this week?,8,8,false
272,こんな,こんな,N5,word,,this sort of; this kind of; like this,こんな風に、彼は私を扱った。,This is the way he treated me.,,,false
273,今晩,こんばん,N5,word,,tonight; this evening,今晩は少し熱っぽいのです。,I feel a bit feverish tonight.,8,8,false
274,さあ,さあ,N5,word,,come (on); come now; come along,さあ東京駅に着きました。,Here we were at Tokyo Station.,,,false
275,～歳,～さい,N5,grammar_pattern,counter,~ years old,,,,,false
276,財布,さいふ,N5,word,,wallet; purse; coin purse,あなたの財布は私のに似ている。,Your purse is similar to mine.,10,7,false
277,魚,さかな,N5,word,,fish,こうして私はいつも魚を料理する。,This is how I usually cook fish.,9,6,false
278,先,さっき,N5,word,,a short while ago; a moment ago; just now,いいからさっき盗ったモノを、カバンの中から出しなさい。,"Never mind that, just take out what you've just nicked from your bag.",4,5,true
279,咲く,さく,N5,word,,to bloom; to flower; to blossom,これらの花は春に咲く。,These flowers bloom in spring.,9,9,false
280,作文,さくぶん,N5,word,,"writing (an essay, prose, etc.); composition; formal writing with little real meaning",「友情」という題で作文を書きなさい。,"Write an essay on ""Friendship"".",5,5,false
281,差す,さす,N5,word,,to shine; to be visible; to be tinged with,彼は雨の中を傘もささずに歩きつづけた。,He went on walking in the rain without an umbrella.,7,6,false
282,～冊,～さつ,N5,grammar_pattern,counter,counter for books,,,,,false
283,雑誌,ざっし,N5,word,,magazine; journal; periodical,その雑誌はどこで買えますか。,Where can I buy that magazine?,10,8,false
284,砂糖,さとう,N5,word,,sugar,はちには砂糖が全然ない。,There is no sugar in the bowl.,10,9,false
285,寒い,さむい,N5,word,,cold (e.g. weather); uninteresting (esp. joke); lame,この寒さにはもう耐えられない。,I can no longer stand the cold.,9,6,false
286,再来年,さらいねん,N5,word,,year after next,祖父は、再来年引退する予定です。,My grandfather is planning to retire the year after next.,6,7,false
287,～さん,～さん,N5,grammar_pattern,suffix,Mr. ~; Ms. ~,,,,,false
288,三,さん,N5,word,,three; 3,彼は手荷物が三個あった。,He had three pieces of baggage.,2,3,true
289,散歩,さんぽ,N5,word,,walk; stroll,公園を散歩しましょう。,Let's take a walk in the park.,9,7,false
290,四,し,N5,word,,four; 4,その湖は直径四マイルである。,The lake is four miles across.,4,6,true
291,～時,～じ,N5,grammar_pattern,time,~ o'clock (time),,,,,false
292,塩,しお,N5,word,,salt; common salt; table salt,このスープは塩が少し足りない。,This soup wants a bit of salt.,9,6,false
293,然し,しかし,N5,word,,however; but,しかし、たいへん息子を欲しがっていました。,But he wanted a son very much.,7,5,false
294,時間,じかん,N5,word,,time; hour; period,いつだって読書の時間は見つけられる。,We can always find time for reading.,3,4,true
295,～時間,～じかん,N5,grammar_pattern,time,~ hours,,,,,false
296,仕事,しごと,N5,word,,work; job; labor,「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」,"""I think you like your job."" ""On the contrary, I hate it.""",4,6,false
297,辞書,じしょ,N5,word,,dictionary; lexicon; letter of resignation,正確なつづりは辞書で調べなさい。,I refer you to the dictionary for the correct spelling.,8,6,false
298,静か,しずか,N5,word,,quiet; silent; slow,キャプテンは静かにするように命じた。,The captain commanded silence.,9,6,false
299,下,した,N5,word,,below; down; under,下に署名してください。,"Sign at the bottom, please.",2,3,true
300,七,しち,N5,word,,seven,私は今朝7時に起きた。,I got up at seven this morning.,4,6,true
301,質問,しつもん,N5,word,,question; inquiry; enquiry,その事故について彼に質問した。,I asked him about the accident.,7,6,false
302,自転車,じてんしゃ,N5,word,,bicycle; bike,ケンは自転車を白く塗りました。,Ken painted his bicycle white.,7,6,false
303,自動車,じどうしゃ,N5,word,,car; automobile; motorcar,"私達はその自動車を12,000ドルで買った。","We bought the car for $12,000.",6,6,false
304,死ぬ,しぬ,N5,word,,to die; to pass away; to lose spirit,その少年は死んだものとしてあきらめられた。,The boy was given up for dead.,4,5,false
305,字引,じびき,N5,word,,dictionary,,,7,6,false
306,自分,じぶん,N5,word,,myself; yourself; oneself,スミスさんは、自分はニューヨークの生まれだが妻は日本だと言う。,"Mr Smith says he was born in New York, but that his wife comes from Japan.",3,4,false
307,閉まる,しまる,N5,word,,to be shut; to close; to be closed,あいにく店は閉まっていた。,"Unfortunately, the store was closed.",9,8,false
308,閉める,しめる,N5,word,,to close; to shut,どうかドアを閉めてくれませんか。,Will you please shut the door?,9,8,false
309,締める,しめる,N5,word,,to tie; to fasten; to tighten,離陸の際は、シートベルトを締めなくてはならない。,You must fasten your seat belts during take-off.,9,8,false
310,じゃあ,じゃあ,N5,word,,then; well; so,「安いですね。じゃあ10ヤードください」小娘が答えた。,"""That's cheap. I'll take ten yards,"" the girl answered.",,,false
311,写真,しゃしん,N5,word,,photograph; photo; picture,あなたに何枚かの写真を見せましょう。,I will show you some pictures.,8,6,false
312,シャツ,シャツ,N5,word,,shirt (undergarment); undershirt; singlet,あなたのシャツは洗う必要がある。,Your shirts need to be washed.,,,false
313,シャワー,シャワー,N5,word,,shower,彼女は毎朝シャワーを浴びます。,She takes a shower every morning.,,,false
314,十,じゅう,N5,word,,ten; 10; ten years of age,その会は十時に終わった。,The party ended at ten o'clock.,2,5,true
315,～中,～じゅう,N5,grammar_pattern,time,during; while,,,,,false
316,～週間,～しゅうかん,N5,grammar_pattern,time,~ weeks,,,,,false
317,授業,じゅぎょう,N5,word,,lesson; class; teaching,それは授業の終わりだった。,That was the end of the class.,8,6,false
318,宿題,しゅくだい,N5,word,,homework; assignment; pending issue,今日は宿題が無い。,I have no homework today.,8,7,false
319,上手,じょうず,N5,word,,skillful; skilled; proficient,あなたは上手にバスケットボールができますか。,Do you play basketball well?,3,4,false
320,丈夫,じょうぶ,N5,word,,healthy; robust; strong,彼は丈夫だったそうです。,He is said to have been strong.,9,8,false
321,醤油,しょうゆ,N5,word,,soy sauce; soya sauce; shoyu,同社は醤油その他の食品を生産する。,The company produces soy sauce and other food products.,10,9,false
322,食堂,しょくどう,N5,word,,dining room; dining hall; cafeteria,私達の家は食堂を含めて７部屋あります。,Our house has seven rooms including the dining room.,8,7,false
323,知る,しる,N5,word,,to know; to be aware (of); to be conscious (of),あなたは１９９０年から彼女を知っているのですか？,Have you known her since 1990?,4,5,false
324,白,しら,N5,word,,white; unseasoned; undyed,２匹犬を飼っているが、１匹は白でもう１匹は黒だ。,I have two dogs. One is white and the other black.,4,5,true
325,白い,しろい,N5,word,,white,ケンは自転車を白く塗りました。,Ken painted his bicycle white.,4,5,true
326,～人,～じん,N5,grammar_pattern,counter,counter for people,,,,,false
327,新聞,しんぶん,N5,word,,newspaper,ジョンのことが新聞に出ていた。,John was mentioned in the paper.,5,6,false
328,水曜日,すいようび,N5,word,,Wednesday,ダービー競馬の日は２週間後の水曜日だ。,Derby Day is Wednesday fortnight.,7,7,false
329,吸う,すう,N5,word,,"to breathe in; to inhale; to smoke (a cigarette, etc.)",この紙はインクを吸わない。,This paper does not absorb ink.,9,8,false
330,スカート,スカート,N5,word,,skirt,あなたのサロン風のスカートが好きです。,I like your sarong style skirt.,,,false
331,好き,すき,N5,word,,liking; being fond of; to one's liking,「ケーキはお好きですか」「はい、好きです」,"""Do you like cake?"" ""Yes, I do.""",7,6,false
332,～すぎ,～すぎ,N5,grammar_pattern,suffix,past; to exceed; ~ too much,,,,,false
333,少ない,すくない,N5,word,,few; little; small (amount),この病気に勝てる人は少ない。,Not many survive this disease.,4,6,false
334,直ぐに,すぐに,N5,word,,immediately; right away; at once,あなたはすぐに良くなるだろうと思います。,I hope you'll soon get well.,7,5,false
335,少し,すこし,N5,word,,a little; a bit; a small amount,少しテレビを見てもいいですか。,Do you mind if I watch TV for a while?,4,6,false
336,涼しい,すずしい,N5,word,,cool; refreshing; clear (e.g. eyes),日増しに涼しくなっていく。,It's getting cooler day by day.,9,9,false
337,～ずつ,～ずつ,N5,grammar_pattern,suffix,at a time,,,,,false
338,ストーブ,ストーブ,N5,word,,(room) heater; stove,彼はストーブで体を暖めた。,He warmed himself at the stove.,,,false
339,スプーン,スプーン,N5,word,,spoon; spoon lure,この赤ん坊はまだスプーンが使えない。,The baby cannot use a spoon yet.,,,false
340,スポーツ,スポーツ,N5,word,,sport; sports,ところであなたはどんなスポーツが好きですか。,"Well, what sports do you like?",,,false
341,洋袴,ズボン,N5,word,,trousers; pants,あなたは私のズボンをどうしたのですか。,What did you do with my pants?,10,9,false
342,住む,すむ,N5,word,,to live (of humans); to reside; to inhabit,あなたはどのくらいの間、神戸に住んでいますか。,How long have you lived in Kobe?,7,6,false
343,為る,する,N5,word,,to do; to carry out; to perform,結構です。それにしましょう。,All right. I'll take it.,9,6,false
344,座る,すわる,N5,word,,to sit (down); to have a seat; to be seated,数人の学生がベンチに座り、昼食を食べていた。,Some students were sitting on the bench and having lunch.,7,5,false
345,背,せ,N5,word,,back; reverse; rear side,彼はいすの背にもたれている。,He is leaning on the back of the chair.,7,6,false
346,生徒,せいと,N5,word,,pupil; student; schoolchild,あなたは何と賢い生徒なのでしょう。,What a clever student you are!,7,6,false
347,セーター,セーター,N5,word,,sweater; jumper,このセーターは洗っても大丈夫です。,This sweater will stand washing.,,,false
348,石鹸,せっけん,N5,word,,soap,ひげをそる前に石けんをつける。,I lather my face before shaving.,9,8,false
349,背広,せびろ,N5,word,,business suit,私は新しい背広を買った。,I bought a new suit of clothes.,8,7,false
350,狭い,せまい,N5,word,,narrow; confined; small,この部屋は私たちにとって狭すぎる。,This room is too small for us.,9,8,false
351,０,ゼロ,N5,word,,zero; 0; nought,ゼロという概念はヒンドゥー文化に由来している。,The concept of zero sprang from the Hindu culture.,,,false
352,千,せん,N5,word,,"thousand; 1,000",飲み代として使った金額は総計７千ドルだった。,The total bill for drinks came up to 7000 dollars.,7,6,true
353,先月,せんげつ,N5,word,,last month,先月は、ほとんど雨が降らなかった。,We had little rain last month.,4,6,true
354,先週,せんしゅう,N5,word,,last week; the week before,この本は先週一番売れた。,This was the best-selling book last week.,8,7,false
355,先生,せんせい,N5,word,,teacher; instructor; master,ぼくはジョーンズ先生に作文を直してもらった。,I had my composition corrected by Mr Jones.,4,4,true
356,洗濯,せんたく,N5,word,,washing; laundry; relaxation,この綿のシャツは洗濯がよく効く。,This cotton shirt washes well.,10,9,false
357,全部,ぜんぶ,N5,word,,all; entire; whole,かばん全部に荷札をつけなさい。,Attach labels to all the bags.,4,6,false
358,そう,そう,N5,word,,appearing that; seeming that; looking like,まもなく雨が降りそうだ。,It is going to rain soon.,,,false
